127.0.0.1 - - [24/Nov/2016:00:35:05 -0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [24/Nov/2016:00:35:10 -0800] "GET /Molly_Server/ws HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [24/Nov/2016:00:35:14 -0800] "GET /Molly_Server//channels HTTP/1.1" 200 36
0:0:0:0:0:0:0:1 - - [24/Nov/2016:00:35:15 -0800] "GET /Molly_Server/channel?id=aniruddhusc HTTP/1.1" 200 45
0:0:0:0:0:0:0:1 - - [24/Nov/2016:00:35:15 -0800] "POST /Molly_Server/channel HTTP/1.1" 200 156
0:0:0:0:0:0:0:1 - - [24/Nov/2016:00:35:46 -0800] "GET /Molly_Server/ws HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [24/Nov/2016:00:35:46 -0800] "GET /Molly_Server//channels HTTP/1.1" 200 304
0:0:0:0:0:0:0:1 - - [24/Nov/2016:00:35:48 -0800] "GET /Molly_Server/channel?id=aniruddhusc HTTP/1.1" 200 279
0:0:0:0:0:0:0:1 - - [24/Nov/2016:00:39:18 -0800] "GET /Molly_Server/ws HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [24/Nov/2016:00:39:18 -0800] "GET /Molly_Server//channels HTTP/1.1" 200 192
0:0:0:0:0:0:0:1 - - [24/Nov/2016:00:39:19 -0800] "GET /Molly_Server/channel?id=aniruddhusc HTTP/1.1" 200 167
0:0:0:0:0:0:0:1 - - [24/Nov/2016:00:39:21 -0800] "GET /Molly_Server/ws HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [24/Nov/2016:00:39:21 -0800] "GET /Molly_Server//channels HTTP/1.1" 200 192
0:0:0:0:0:0:0:1 - - [24/Nov/2016:00:39:22 -0800] "GET /Molly_Server/channel?id=aniruddhusc HTTP/1.1" 200 167
0:0:0:0:0:0:0:1 - - [24/Nov/2016:00:39:23 -0800] "GET /Molly_Server/ws HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [24/Nov/2016:00:39:23 -0800] "GET /Molly_Server//channels HTTP/1.1" 200 192
0:0:0:0:0:0:0:1 - - [24/Nov/2016:00:39:24 -0800] "GET /Molly_Server/channel?id=aniruddhusc HTTP/1.1" 200 167
0:0:0:0:0:0:0:1 - - [24/Nov/2016:00:40:02 -0800] "GET /Molly_Server/ws HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [24/Nov/2016:00:40:02 -0800] "GET /Molly_Server//channels HTTP/1.1" 200 153
0:0:0:0:0:0:0:1 - - [24/Nov/2016:00:40:03 -0800] "GET /Molly_Server/channel?id=aniruddhusc HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [24/Nov/2016:00:40:13 -0800] "GET /Molly_Server/ws HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [24/Nov/2016:00:40:13 -0800] "GET /Molly_Server//channels HTTP/1.1" 200 303
0:0:0:0:0:0:0:1 - - [24/Nov/2016:00:40:13 -0800] "GET /Molly_Server/channel?id=aniruddhusc HTTP/1.1" 200 278
0:0:0:0:0:0:0:1 - - [24/Nov/2016:00:41:04 -0800] "GET /Molly_Server/ws HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [24/Nov/2016:00:41:05 -0800] "GET /Molly_Server//channels HTTP/1.1" 200 153
0:0:0:0:0:0:0:1 - - [24/Nov/2016:00:41:06 -0800] "GET /Molly_Server/channel?id=aniruddhusc HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [24/Nov/2016:00:41:22 -0800] "GET /Molly_Server/ws HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [24/Nov/2016:00:41:22 -0800] "GET /Molly_Server//channels HTTP/1.1" 200 303
0:0:0:0:0:0:0:1 - - [24/Nov/2016:00:41:22 -0800] "GET /Molly_Server/channel?id=aniruddhusc HTTP/1.1" 200 278
0:0:0:0:0:0:0:1 - - [24/Nov/2016:00:42:50 -0800] "GET /Molly_Server/ws HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [24/Nov/2016:00:42:50 -0800] "GET /Molly_Server//channels HTTP/1.1" 200 154
0:0:0:0:0:0:0:1 - - [24/Nov/2016:00:42:51 -0800] "GET /Molly_Server/channel?id=aniruddhusc HTTP/1.1" 200 129
0:0:0:0:0:0:0:1 - - [24/Nov/2016:00:43:08 -0800] "GET /Molly_Server/ws HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [24/Nov/2016:00:43:08 -0800] "GET /Molly_Server//channels HTTP/1.1" 200 301
0:0:0:0:0:0:0:1 - - [24/Nov/2016:00:43:08 -0800] "GET /Molly_Server/channel?id=aniruddhusc HTTP/1.1" 200 276
0:0:0:0:0:0:0:1 - - [24/Nov/2016:00:43:13 -0800] "GET /Molly_Server/ws HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [24/Nov/2016:00:43:13 -0800] "GET /Molly_Server//channels HTTP/1.1" 200 154
0:0:0:0:0:0:0:1 - - [24/Nov/2016:00:43:13 -0800] "GET /Molly_Server/channel?id=aniruddhusc HTTP/1.1" 200 129
0:0:0:0:0:0:0:1 - - [24/Nov/2016:00:43:25 -0800] "GET /Molly_Server/ws HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [24/Nov/2016:00:43:25 -0800] "GET /Molly_Server//channels HTTP/1.1" 200 154
0:0:0:0:0:0:0:1 - - [24/Nov/2016:00:43:25 -0800] "GET /Molly_Server/channel?id=aniruddhusc HTTP/1.1" 200 129
0:0:0:0:0:0:0:1 - - [24/Nov/2016:00:43:45 -0800] "GET /Molly_Server/ws HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [24/Nov/2016:00:43:45 -0800] "GET /Molly_Server//channels HTTP/1.1" 200 303
0:0:0:0:0:0:0:1 - - [24/Nov/2016:00:43:45 -0800] "GET /Molly_Server/channel?id=aniruddhusc HTTP/1.1" 200 279
0:0:0:0:0:0:0:1 - - [24/Nov/2016:00:44:23 -0800] "GET /Molly_Server/ws HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [24/Nov/2016:00:44:23 -0800] "GET /Molly_Server//channels HTTP/1.1" 200 303
0:0:0:0:0:0:0:1 - - [24/Nov/2016:00:44:24 -0800] "GET /Molly_Server/channel?id=aniruddhusc HTTP/1.1" 200 278
0:0:0:0:0:0:0:1 - - [24/Nov/2016:00:45:55 -0800] "GET /Molly_Server/ws HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [24/Nov/2016:00:45:55 -0800] "GET /Molly_Server//channels HTTP/1.1" 200 153
0:0:0:0:0:0:0:1 - - [24/Nov/2016:00:45:56 -0800] "GET /Molly_Server/channel?id=aniruddhusc HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [24/Nov/2016:00:46:30 -0800] "GET /Molly_Server/ws HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [24/Nov/2016:00:46:30 -0800] "GET /Molly_Server//channels HTTP/1.1" 200 154
